
*********************************************************************************
program_crabs.py
Directory /Users/brocktubre/Desktop/School/CSC475/NeuralNetwork_Crabs/Assignment2
Created by Brock Tubre on 10/24/14 -- CSC475

Using the crab’s dataset, build a classifier that can identify the sex of a crab from its physical measurements.
Five physical measurements of a crab considered are: frontal lobe size (FLB), rear width (RW), length (CL), width (CW), and depth (BD).
This program uses a Batch Gradient Descnes Algorithm
Compile & run $: python3 program_crabs2.py
Output is in .csv run$: python3 program_crabs2.py > output.csv
This will output a .csv to the cwd with the columns deltaFLB, deltaRW, deltaCL, deltaCW, deltaDB, deltaERROR
-2.0977967084609428e-05,-1.60831080982006e-05,-4.5312408902756316e-05,-5.174565214203716e-05,-1.8740317262251084e-05,0.6955698456434158
-2.1578118867202718e-05,-1.6290765237490096e-05,-4.3156237734405436e-05,-4.7586182667407745e-05,-2.00062029232343e-05,0.699429457666534
-8.12611709056669e-06,-7.336077928984594e-06,-1.6590822393240342e-05,-1.9299528090096357e-05,-6.884626979507887e-06,0.626156120257626
-1.8925104027480897e-05,-1.4419126878080848e-05,-4.077909320207194e-05,-4.7087461211231876e-05,-1.678476488151581e-05,0.6717068115856374
-2.2150278466329066e-05,-1.8659201968918016e-05,-4.285597355441933e-05,-4.8152779274628424e-05,-1.914072976166479e-05,0.6557771994015
-1.4488033823470718e-05,-1.3446410476685919e-05,-3.086992827746053e-05,-3.626743107443958e-05,-1.3067638350581449e-05,0.5916924657331587
-7.550264424044232e-06,-6.720565036786447e-06,-1.5349438664265724e-05,-1.7921506764764436e-05,-6.388685281883614e-06,0.6389122790252166
-1.7013862189357853e-05,-1.2257298566527297e-05,-3.45765586428886e-05,-3.832692611473697e-05,-1.5824721283649998e-05,0.7093942688103139
-1.8016553648384664e-05,-1.482504985924303e-05,-3.551834862110118e-05,-4.015117670211517e-05,-1.6472277621380218e-05,0.6905690939072906
-1.6018142930879068e-05,-1.1802842159595525e-05,-3.278567266554199e-05,-3.643893333398797e-05,-1.4706716024257428e-05,0.6947833457531141
-1.306872103249584e-05,-9.496603950279875e-06,-2.7357189361357963e-05,-3.171342970552382e-05,-1.150047450859627e-05,0.6716796648497922
-1.737736095622157e-05,-1.3546867412108851e-05,-3.241905511725202e-05,-3.681010869221145e-05,-1.4014000771146403e-05,0.7024275670288594
-1.5714895511472165e-05,-1.1446652286134854e-05,-3.1332785495095635e-05,-3.424295133055283e-05,-1.4259812593743243e-05,0.6573550586011515
-1.3783938397364114e-05,-1.0406417068209092e-05,-2.7567876794728228e-05,-3.0397691962398554e-05,-1.2779810434642228e-05,0.6465065906411049
-1.3099334799607882e-05,-9.518849954381209e-06,-2.7421274180512408e-05,-3.178771911371489e-05,-1.1527414623654854e-05,0.6921472056612172
-9.983810262624007e-06,-7.881955470492169e-06,-1.9880043242242584e-05,-2.1719166185357047e-05,-8.845305583552875e-06,0.6955698456434158
-1.0120465047581463e-05,-9.361430169012655e-06,-2.142165101738083e-05,-2.462646494911548e-05,-9.277092960283053e-06,0.6157016153646847
-1.4670432266179713e-05,-1.12721965435051e-05,-3.207602987012181e-05,-3.688329016073369e-05,-1.3261407698241575e-05,0.7136836180800592
-1.107231290504323e-05,-1.0233501321328317e-05,-2.340284318565959e-05,-2.692585183726448e-05,-9.646333212727032e-06,0.7168790556821241
-1.838601077470091e-05,-1.334468523970199e-05,-3.647547298851945e-05,-3.97375071582249e-05,-1.6804418449995395e-05,0.6742648955905547
-1.5363102308807268e-05,-1.2271157190053839e-05,-3.285191688675768e-05,-3.758645784984922e-05,-1.3720506464469373e-05,0.6979320780740701
-6.8305983240690964e-06,-6.155044643666244e-06,-1.4411811848585301e-05,-1.6663657449926192e-05,-5.779737043443015e-06,0.6508558255682432
-8.783836963350785e-06,-7.711001914391044e-06,-1.8506404594540544e-05,-2.1859014122537282e-05,-7.442793152152112e-06,0.6970257684815876
-1.510452532277589e-05,-1.417214721643155e-05,-3.216704466887455e-05,-3.7388362064402075e-05,-1.2960055678184297e-05,0.7068804363922523
-1.2265318265943241e-05,-1.1824648148604788e-05,-2.6880877157696046e-05,-3.0773463194192635e-05,-1.1310533011708174e-05,0.6683807615991967
-1.2439898183565982e-05,-1.0479262056807548e-05,-2.4068498659508136e-05,-2.7043256920796302e-05,-1.0749694626016322e-05,0.6507174188880271
-1.7267024926999222e-05,-1.1735597028307565e-05,-3.558053621321045e-05,-3.9467485547426545e-05,-1.614578954212912e-05,0.6905690939072906
-8.672584878909669e-06,-8.210047018701247e-06,-1.89640522685493e-05,-2.1623644964748404e-05,-8.09441255364906e-06,0.6497205326239432
-8.486608895949435e-06,-8.088799103951258e-06,-1.7702535743894642e-05,-2.0619807551877298e-05,-7.359481151956245e-06,0.6104503850620885
-6.904708770782801e-06,-6.259408885662954e-06,-1.3809417541565602e-05,-1.5487197242878073e-05,-6.3239388741749385e-06,0.6311793512309093
-1.3149958607864697e-05,-9.198157575449409e-06,-2.834395223249588e-05,-3.229575326491041e-05,-1.2127941099481453e-05,0.707135166246398
-8.239082631307992e-06,-6.683451644977009e-06,-1.803379624894675e-05,-2.0453666672127363e-05,-7.317227232000751e-06,0.7018358847043545
-6.882646600848757e-06,-6.583401096464311e-06,-1.478272791660554e-05,-1.7475937456068805e-05,-6.044759188571572e-06,0.6859628359384247
-9.435838200532224e-06,-7.970645933368797e-06,-1.852003025694512e-05,-2.1098768647153515e-05,-8.205076696115015e-06,0.6850780678870225
-8.425629795726585e-06,-6.459649510057175e-06,-1.8199360358769293e-05,-2.0783220162792423e-05,-7.526895950849097e-06,0.6871843467679406
-7.064095262086507e-06,-6.298818275360732e-06,-1.4481395287277519e-05,-1.701269608952484e-05,-6.181083354325789e-06,0.6887850832886011
-6.138079172180247e-06,-4.993691529909736e-06,-1.2588264064979744e-05,-1.4460898388695895e-05,-5.0457091500125464e-06,0.6538971139536939
-1.1582369325949921e-05,-1.0005427023356342e-05,-2.3817266501249e-05,-2.6318623257087434e-05,-1.087546415582145e-05,0.6799614286509923
-6.2514339272306055e-06,-5.988768636170511e-06,-1.3658595135125802e-05,-1.5812450521818233e-05,-5.726103345110416e-06,0.7018430025755261
-1.1099349176943527e-05,-9.475054175440284e-06,-2.1657266686719162e-05,-2.4635140856143004e-05,-1.039548800962518e-05,0.6051027025057031
-7.4892654740512255e-06,-5.796486291559724e-06,-1.533760532014582e-05,-1.7184273519226315e-05,-6.565931374510653e-06,0.6799614286509923
-1.0271326487633326e-05,-8.76820553822287e-06,-2.004161265879668e-05,-2.2797334399381197e-05,-9.61997407622245e-06,0.6534061110044566
-1.0574039595841428e-05,-8.304725162030027e-06,-2.0568679761773668e-05,-2.2886277481410852e-05,-9.415240736023161e-06,0.7093942688103139
-8.141694582028099e-06,-6.4276536173909354e-06,-1.5543235111144553e-05,-1.7413097981658354e-05,-6.817208382080904e-06,0.6512506065536406
-7.28088095525224e-06,-6.892567304305625e-06,-1.5920859688818394e-05,-1.8153663181762897e-05,-6.795488891568808e-06,0.6955698456434158
-1.0219103199568579e-05,-6.965259394730791e-06,-2.0641571636939235e-05,-2.262438270551198e-05,-9.151435701106048e-06,0.7330812330338364
-5.587311242350509e-06,-4.83517319049484e-06,-1.1174622484701018e-05,-1.257145029528832e-05,-5.050069776739875e-06,0.6380121785861926
-6.221135584058351e-06,-6.042367320149497e-06,-1.3657895362703069e-05,-1.5767360876836958e-05,-5.935106361802927e-06,0.6465065906411049
-3.7691155509692216e-06,-3.3154257161310124e-06,-7.852324064519176e-06,-9.178494350971927e-06,-3.1758288438722346e-06,0.6742648955905547
-7.729287600846072e-06,-5.300082926294053e-06,-1.5193571055377181e-05,-1.647442442923204e-05,-6.757605731025373e-06,0.618524864746739
-3.074105140004604e-06,-2.330914886376767e-06,-5.6414896525357715e-06,-6.283335780668184e-06,-2.4998217622014627e-06,0.7160709192203343
-4.536685903978443e-06,-4.392664129248755e-06,-9.397420801097924e-06,-1.1377720203627553e-05,-4.0326096924252946e-06,0.6788764202231576
-6.159872182923912e-06,-4.308718884429158e-06,-1.327723745127643e-05,-1.5128390749772486e-05,-5.681125640209718e-06,0.699429457666534
-7.5954667772388205e-06,-5.445151981855675e-06,-1.574585350167315e-05,-1.7688073316857872e-05,-7.318006803641174e-06,0.7229584257857431
-6.277819995465254e-06,-5.258906802484836e-06,-1.242416732086856e-05,-1.3903234859067096e-05,-5.521852142608297e-06,0.7267477612050234
-4.568818525851849e-06,-3.6245960305086172e-06,-9.89910680601223e-06,-1.1330669944112706e-05,-4.142395463438962e-06,0.6790470373084785
-5.921310803006256e-06,-4.141849525419669e-06,-1.2763032611661472e-05,-1.4542493889248276e-05,-5.461105300181993e-06,0.722935830308623
-3.6217225118030834e-06,-2.6970274024061547e-06,-7.4746188009552905e-06,-8.116768182480152e-06,-3.36486275919303e-06,0.6458535996983802
-2.3105079959642467e-06,-1.958908953100108e-06,-4.7717012960127834e-06,-5.625584685826218e-06,-1.933794735752654e-06,0.6885082550302936
-5.012419733296282e-06,-4.414912745220878e-06,-1.0555956789325919e-05,-1.2049724259513561e-05,-4.481302410562927e-06,0.6856548460315989
-3.0286829397823886e-06,-2.6641192525864166e-06,-6.309756124546571e-06,-7.3754038255810506e-06,-2.551945810372238e-06,0.7059635424416199
-2.8415623497426816e-06,-2.751354021179181e-06,-5.886093438752481e-06,-7.126457956497037e-06,-2.525833199771188e-06,0.6508558255682432
-6.702034968785603e-06,-4.7915001134303525e-06,-1.3525373737911187e-05,-1.5041671242161173e-05,-6.21681976742546e-06,0.6483231872051036
-2.40801126933244e-06,-1.971914740240069e-06,-4.929786850601907e-06,-5.460686972973833e-06,-2.2942469573954127e-06,0.6293842825257236
-3.571095414076986e-06,-3.2650015214415185e-06,-7.34625342324385e-06,-8.264535101150036e-06,-3.239493697055392e-06,0.6889583276582157
-4.706230999156806e-06,-3.730548962745453e-06,-1.0244661382310862e-05,-1.199514974175274e-05,-4.361872633364908e-06,0.6311793512309093
-5.328225672553968e-06,-3.8058754803955985e-06,-1.0884803873931898e-05,-1.1975821511644308e-05,-4.922265621311707e-06,0.7330812330338364
-2.8683596517661055e-06,-2.161369596753032e-06,-5.615521008387088e-06,-6.241712199969718e-06,-2.5653639139035147e-06,0.6859628359384247
-4.099800209633828e-06,-3.6877599875594774e-06,-8.261406452578918e-06,-9.559333152111063e-06,-3.687759987560128e-06,0.6517710809445023
-3.5495735787160337e-06,-2.973464777981591e-06,-7.024810537982658e-06,-7.861097506790468e-06,-3.1221380168810608e-06,0.6738528120197939
-2.9291674492311695e-06,-2.3507968063898876e-06,-6.679248068947648e-06,-7.5188183569444705e-06,-2.7052820390988715e-06,0.7229020967189368
-4.623265835253373e-06,-3.973119077170864e-06,-9.848519409471831e-06,-1.1534085078574938e-05,-4.3583912301087355e-06,0.6535589814124487
-3.5854217842296813e-06,-2.793549488325567e-06,-7.830737148379133e-06,-8.996549139569585e-06,-3.2774714469338898e-06,0.657874887919554
-3.4062029971302418e-06,-2.5357288978636316e-06,-6.944869444148669e-06,-7.815343543415496e-06,-3.235892847273632e-06,0.625749998413344
-4.128781990174598e-06,-3.4728072814561167e-06,-7.94886999977559e-06,-8.913538689068329e-06,-3.607860897956311e-06,0.6874229993902424
-1.986993621347355e-06,-1.7680875444188449e-06,-4.243410106606355e-06,-4.9338061953799195e-06,-1.734409686430377e-06,0.699682788710618
-3.1791809882700164e-06,-2.527547618003459e-06,-6.891516552212651e-06,-8.036811566620658e-06,-3.1001951252072456e-06,0.6259686991053062
-1.2513594810719363e-06,-1.12759865327286e-06,-2.6402309930310605e-06,-3.052767085691757e-06,-1.0588426378301333e-06,0.6085629791109392
-2.349278957755564e-06,-1.957732464795761e-06,-4.823140890543743e-06,-5.410460629982905e-06,-2.171303279137728e-06,0.6099003148938795
-2.3238131177771414e-06,-2.186218920013569e-06,-5.18271478241062e-06,-5.8859740154227486e-06,-2.2473718967975717e-06,0.6360712268426065
-1.9980237815130173e-06,-1.7290590416940699e-06,-3.996047563026035e-06,-4.495553508404235e-06,-1.8059061102136762e-06,0.6533141064449437
-3.671834847686654e-06,-2.851729602518921e-06,-7.809638584673536e-06,-9.039796452427196e-06,-3.3176984918184983e-06,0.618524864746739
-3.1049303579144902e-06,-2.287843421620861e-06,-6.609325440239296e-06,-7.6261447387367814e-06,-2.7417806084508237e-06,0.671219315994397
-1.6465675730472674e-06,-1.2999217681945036e-06,-3.2786915708923545e-06,-3.582006650137276e-06,-1.4588010954191388e-06,0.6506198171416688
-1.7186244239922755e-06,-1.6297300572346712e-06,-3.644669037086712e-06,-4.222482421014501e-06,-1.540835690475766e-06,0.6517710809445023
-2.9108686607449627e-06,-2.472825318594607e-06,-5.864128612665612e-06,-6.528258841087889e-06,-2.7130426352574115e-06,0.6887850832886011
-2.5992143950302055e-06,-2.0301556221541395e-06,-5.736727629267711e-06,-6.56724583833132e-06,-2.3992748261817114e-06,0.6820788700710623
-1.8889875273524464e-06,-1.3615429580275673e-06,-3.704378138054496e-06,-4.1214273324048645e-06,-1.6559306246269855e-06,0.6506198171416688
-2.261249721216942e-06,-1.8282444554512667e-06,-4.305996809551155e-06,-4.8713092398559865e-06,-1.996635392138412e-06,0.7085983468636831
-2.0609011916129967e-06,-1.4666536087559745e-06,-3.995366727298829e-06,-4.324099432708589e-06,-1.8333170109441008e-06,0.6893292776015285
-2.685320100975124e-06,-2.2923464276618233e-06,-5.239648977512553e-06,-5.9601007119207405e-06,-2.5150315092060775e-06,0.6497205326239432
-1.1905201277183277e-06,-1.0417051117539433e-06,-2.4486834445118684e-06,-2.8139566655167175e-06,-1.0011191983085987e-06,0.6738528120197939
-1.0975525596250424e-06,-9.078521172201787e-07,-2.1815550876498613e-06,-2.5745060040580775e-06,-9.485022120217165e-07,0.651326631573664
-2.2462599126370046e-06,-1.927119160022653e-06,-4.308400160303941e-06,-4.9712309541961874e-06,-1.976217737347354e-06,0.6658617246659327
-1.3440676564081648e-06,-1.1424575079473087e-06,-2.5921304802156535e-06,-3.0145517436585417e-06,-1.209660890767305e-06,0.6859628359384247
-8.573922555710645e-07,-7.907986823221802e-07,-1.773053887734171e-06,-2.0560765740390563e-06,-7.408535023865469e-07,0.648409986961939
-1.6524213715691377e-06,-1.4600760267300533e-06,-3.1736981898392545e-06,-3.645818581716337e-06,-1.3376744436512274e-06,0.6970257684815876
-1.4794744909549674e-06,-1.0663744707539724e-06,-2.901307118625702e-06,-3.2279443439014316e-06,-1.2969419238889526e-06,0.7158304621766691
-8.392974082845062e-07,-7.728184056483844e-07,-1.7367639438756188e-06,-2.027609580410386e-06,-6.98029527682097e-07,0.6517710809445023
-1.2424147976413703e-06,-9.342959278266921e-07,-2.4053150482336236e-06,-2.6836159629055334e-06,-1.113203658686555e-06,0.6579497814605488
-1.4423596899760908e-06,-1.3654338398439575e-06,-3.1539598554144316e-06,-3.5962834936745236e-06,-1.3462023773110326e-06,0.6012311244585146
-1.274420158967407e-06,-1.0832571351229031e-06,-2.457810306580061e-06,-2.8583423565403665e-06,-1.1469781430707097e-06,0.7104174201519545
-1.6100389769533718e-06,-1.3248320724652124e-06,-3.1740768402792503e-06,-3.588086862925388e-06,-1.4720356360715427e-06,0.7361268251561989
-1.932508032875379e-06,-1.381612077801589e-06,-3.899993586707617e-06,-4.3372125986696625e-06,-1.7925979490472903e-06,0.6579497814605488
-1.1020272492555903e-06,-8.529388983956332e-07,-2.2568914214205794e-06,-2.5286241678128263e-06,-9.661608760596838e-07,0.6533141064449437
-1.7461246862599672e-06,-1.4901482924632031e-06,-3.464823330327424e-06,-3.894497991343421e-06,-1.5724264190403008e-06,0.6088315473231579
-6.377922103205109e-07,-5.781854616922211e-07,-1.2755844206410218e-06,-1.4305619670737513e-06,-5.841461365552018e-07,0.6803762125272016
-1.3706001927421812e-06,-1.3312151297319857e-06,-3.0090188139512627e-06,-3.4737625574671888e-06,-1.307584091926389e-06,0.6618595645324667
-5.443352171440822e-07,-4.943452482225608e-07,-1.1331059622181165e-06,-1.3275113969132835e-06,-4.887908072314252e-07,0.651326631573664
-1.1847538177965893e-06,-9.72668257820733e-07,-2.6327862617699094e-06,-3.04964408654948e-06,-1.1262474564237897e-06,0.6805088605413308
-9.291381014070368e-07,-7.926912473539549e-07,-1.8257888566111137e-06,-2.0661952185134502e-06,-8.121836550761645e-07,0.7191803519067927
-1.0782186018343937e-06,-1.0006996173893279e-06,-2.297380811751553e-06,-2.699070094787717e-06,-9.72510895772211e-07,0.6388961699295745
-1.3020563516292095e-06,-1.0275687964203528e-06,-2.604112703258419e-06,-2.956019825320344e-06,-1.16833164524573e-06,0.6157016153646847
-1.1065121471331464e-06,-9.415662370008265e-07,-2.158042324222186e-06,-2.481061398230608e-06,-9.553117295123953e-07,0.6742648955905547
-1.253192393233394e-06,-9.108253992053811e-07,-2.5257640502793915e-06,-2.7906139890548215e-06,-1.1498363195645844e-06,0.7361268251561989
-6.454466856553338e-07,-5.095631728860295e-07,-1.285231558278803e-06,-1.4041296319527302e-06,-5.718431162384918e-07,0.7068804363922523
-6.787726385428221e-07,-6.070324409732097e-07,-1.4789517652799393e-06,-1.7383201718779856e-06,-6.291063479177059e-07,0.6890906381281053
-1.1071804379490617e-06,-9.300315678764659e-07,-2.106806204783037e-06,-2.378856255249792e-06,-9.237048225175203e-07,0.6959253779151415
-1.3090096233564844e-06,-1.0919376757650978e-06,-2.591707495489849e-06,-2.8877146967514616e-06,-1.1774508672402362e-06,0.6890906381281053
-7.017715909537602e-07,-6.079040533110702e-07,-1.3856636509280637e-06,-1.5555191952357217e-06,-6.168438188001481e-07,0.6856548460315989
-4.990460389512393e-07,-4.53215280271993e-07,-1.038830530061905e-06,-1.21706125825842e-06,-4.481229737521731e-07,0.6207773763071368
-7.646209024250641e-07,-5.957475742827956e-07,-1.6699695783023438e-06,-1.9185886447354444e-06,-6.989479414806678e-07,0.648409986961939
-6.017485127017205e-07,-5.490406137786952e-07,-1.2562049243264664e-06,-1.4846058196578416e-06,-5.226866643176162e-07,0.6971822374068376
-9.233620715089555e-07,-7.84409526766866e-07,-1.8601711634764172e-06,-2.0708411506663305e-06,-8.606093093673807e-07,0.6775515323554078
-7.375762991039276e-07,-5.353376364460039e-07,-1.4632562062868136e-06,-1.5941165174178373e-06,-6.741288755250392e-07,0.6893292776015285
-5.440292941761345e-07,-4.413104763949238e-07,-1.1907774061336966e-06,-1.350562233793165e-06,-4.831588836390083e-07,0.6658617246659327
-4.657395281854916e-07,-3.6768910119909515e-07,-9.273936219132348e-07,-1.0131877455268196e-06,-4.1262888023454493e-07,0.6955698456434158
-4.4903740121365887e-07,-3.9956717904666983e-07,-9.58961229710533e-07,-1.1149826996230405e-06,-3.919563756355632e-07,0.6573550586011515
-4.947002996157947e-07,-4.442206772061613e-07,-9.96131215552816e-07,-1.1240129256569892e-06,-4.3412475272410454e-07,0.6410236372051064
-6.137509710928222e-07,-5.30057656853572e-07,-1.2912682768448022e-06,-1.4985088644860894e-06,-5.499846364338812e-07,0.6982683014008219
-4.256910025109313e-07,-3.4354010729036044e-07,-8.103065574113603e-07,-8.99925715834235e-07,-3.622107652943851e-07,0.6230281896555961
-7.856353255823994e-07,-6.124576462877146e-07,-1.4656745052532734e-06,-1.6641952595673748e-06,-6.335768754698028e-07,0.6483231872051036
-8.353117647726636e-07,-7.166335905424426e-07,-1.6021553521051654e-06,-1.8486407908895747e-06,-7.348917711934126e-07,0.6416932480691291
-7.019961250933054e-07,-5.529690147373922e-07,-1.5569411266035116e-06,-1.7491076636406977e-06,-6.588566984115987e-07,0.718009826844287
-6.810112674552737e-07,-5.374467299916474e-07,-1.3620225349105473e-06,-1.5460796342226663e-06,-6.11069569716495e-07,0.6984369247747436
-5.898310220203533e-07,-5.273323706797561e-07,-1.2460668610894676e-06,-1.4452813122348834e-06,-5.390508678068499e-07,0.6932361980153198
-2.66163291466788e-07,-2.5137644194157815e-07,-5.707723917010299e-07,-6.713229684773142e-07,-2.2771748269933417e-07,0.648409986961939
-5.29038145651332e-07,-3.994062821466998e-07,-1.058076291302664e-06,-1.1666867715358353e-06,-4.904989429879627e-07,0.718009826844287
-6.651680890955476e-07,-4.652730156880225e-07,-1.4337301816771779e-06,-1.633625255084703e-06,-6.134710873522894e-07,0.6803762125272016
-6.051560485541632e-07,-5.140888761981377e-07,-1.219125049271505e-06,-1.3571946331641938e-06,-5.640289384581734e-07,0.7055937932286547
-2.946910377266826e-07,-2.783193134084372e-07,-6.319485586804563e-07,-7.432762840434842e-07,-2.5212455449937464e-07,0.7010591637401362
-3.411165326978275e-07,-3.0506356582700456e-07,-7.432457785612294e-07,-8.735911203230223e-07,-3.1615678640285923e-07,0.6721930564068938
-4.5375719281504426e-07,-3.4788051449241575e-07,-9.801155364808078e-07,-1.1192677422770803e-06,-4.053564255815205e-07,0.6805088605413308
-2.7334286361712506e-07,-2.4379228376683604e-07,-5.860865003679688e-07,-6.673505949569142e-07,-2.413297354457618e-07,0.6320641479629543
-4.4342615788278174e-07,-3.760046368012082e-07,-8.583278260773305e-07,-9.646463785522447e-07,-3.785977722274309e-07,0.6757999062015744
-3.073063053215565e-07,-2.2141323861683826e-07,-6.451523676936216e-07,-7.444065781084253e-07,-2.748578134552284e-07,0.6499585179436869
-1.7366193358087784e-07,-1.6401404838266298e-07,-3.7240836867893576e-07,-4.380139880313938e-07,-1.4857743206369775e-07,0.6885082550302936
-2.7214024448415745e-07,-2.593836705231528e-07,-5.676675412288196e-07,-6.612157502708382e-07,-2.359966182635155e-07,0.7168790556821241
-3.905218965212943e-07,-3.213437319952994e-07,-7.698860245704091e-07,-8.703059408195907e-07,-3.5704859110518954e-07,0.6388961699295745
-4.59241976697106e-07,-3.5667016464249746e-07,-9.767633920611252e-07,-1.1306211101427127e-06,-4.1494960331006116e-07,0.6485330264750535
-2.052829128134856e-07,-1.86097593859319e-07,-4.105658256269712e-07,-4.604476549086717e-07,-1.88016125754302e-07,0.6718789518859638
-1.4732354018903542e-07,-1.218602122543544e-07,-2.92828271239616e-07,-3.455737362448308e-07,-1.2731663966950198e-07,0.713252535132062
-2.261521405894952e-07,-2.05016426516047e-07,-4.523042811789904e-07,-5.072571377714302e-07,-2.0712999792291478e-07,0.7136836180800592
-3.638315604346295e-07,-2.789375296661373e-07,-7.858761705390079e-07,-8.97451182405376e-07,-3.2502286065501373e-07,0.6508558255682432
-3.3622903039456226e-07,-2.976804791398474e-07,-7.195729567681212e-07,-8.245106796304913e-07,-3.0196365150090415e-07,0.7055937932286547
-3.31761617485991e-07,-2.64099708656082e-07,-7.049934371578664e-07,-8.010296948506718e-07,-2.968393419612754e-07,0.6088315473231579
-2.1008537742697037e-07,-1.941698185310009e-07,-4.440440931983286e-07,-5.108894405615738e-07,-1.8302892730386565e-07,0.6104503850620885
-3.8560679426033646e-07,-3.2757858735646406e-07,-7.768292214467912e-07,-8.648074706230774e-07,-3.5940050727178464e-07,0.6088315473231579
-2.348402396393657e-07,-2.0789135968084238e-07,-5.255031591930477e-07,-6.082747190661042e-07,-2.098162796776784e-07,0.6051027025057031
-4.099734162411016e-07,-3.1340190041577454e-07,-7.83504751038569e-07,-8.8736468315323e-07,-3.607766062921087e-07,0.618499735388867
-3.640842165899584e-07,-3.10803599527093e-07,-7.10408227492295e-07,-8.080893587718296e-07,-3.409959491963103e-07,0.6955698456434158
-3.867049993360426e-07,-2.772268716706716e-07,-8.016624187148595e-07,-9.005458888652201e-07,-3.7257878931465545e-07,0.6770451869650773
-1.2611532994571267e-07,-1.0885744269016617e-07,-2.601958386245877e-07,-2.9736667271455797e-07,-1.035473235343632e-07,0.6905690939072906
-1.6975254980107143e-07,-1.3643662881250573e-07,-3.283997926056652e-07,-3.601292411659768e-07,-1.4595546338029564e-07,0.6738528120197939
-3.200199267660176e-07,-2.68952917175172e-07,-7.166403679175447e-07,-8.340944899747765e-07,-3.029975902358803e-07,0.699682788710618
-2.827807489805441e-07,-2.0219556144673856e-07,-5.992607582023558e-07,-6.813111309636466e-07,-2.4615111828365545e-07,0.6671181549528654
-2.228934018555593e-07,-1.9018621788720325e-07,-4.4215267215944043e-07,-5.039329085427396e-07,-1.9866585817575333e-07,0.7093942688103139
-2.3573871571068612e-07,-1.6802653141079205e-07,-4.6646171406559966e-07,-5.153649582818887e-07,-2.1943763430518418e-07,0.6718789518859638
-1.6416359632526883e-07,-1.2345102443599154e-07,-3.1782072248574475e-07,-3.5459336806230313e-07,-1.4709058230753455e-07,0.6380121785861926
-2.0165274975335844e-07,-1.5984669187764367e-07,-4.3896360769511353e-07,-5.139685938845145e-07,-1.8689767050314443e-07,0.6297866328037073
